Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Boolean Satisfiability,CNF-SAT,Orthogonal Vectors,k-OV,1,,,,,,,SETH,,"If: to-time: $N^{(k-\epsilon)} poly(m)$ where $m$-dimensional vectors, $k$-OV, $N$ vectors per set
Then: from-time: $2^{(n-\epsilon')} \poly(m)$ where $\epsilon' = \epsilon/k > 0$, $n$ variables, $m$ clauses",k,"Ryan Williams. A new algorithm for optimal 2-constraint satisfaction and its implications. Theor. Comput. Sci., 348(2-3):357–365, 2005.",,2005,,,,
,Orthogonal Vectors,OV,Graph Metrics,Diameter 2 vs 3,2,,,,,,,OV,,"If: to-time: $O(N^{(2-\epsilon)})$ where $N = nd$ and $V,E = O(n)$
Then: from-time: $O((nd)^{(2-\epsilon)}) \leq n^{(2-\epsilon)} poly(d)$ where 2 sets of $n$ $d$-dimensional vectors",2,"L. Roditty and V. Vassilevska Williams. Fast approximation algorithms for the diameter and radius of sparse graphs. In STOC, pages 515–524, 2013.",https://people.csail.mit.edu/virgi/diam.pdf,2013,,I think this is the same as the generalization,,
,Orthogonal Vectors,OV,String Similarity,Edit Distance,3,,,,,,,SETH,,"If: to-time: $O(n^{(2-\epsilon)})$ where $n$ is length of sequence
Then: from-time: $O(d^{O(1)}*(N)^{(2-\epsilon)})$ where $2$ sets of $n$ $d$-dimensional vectors",2,"Backurs, Arturs, and Piotr Indyk. ""Edit distance cannot be computed in strongly subquadratic time (unless SETH is false)."" Proceedings of the forty-seventh annual ACM symposium on Theory of computing. 2015.
",https://arxiv.org/pdf/1412.0348.pdf,2014,,These 4 are from 6.S078 Lec 5,,
,Boolean Satisfiability,CNF-SAT,Frechet Distance,Frechet Distance,4,,,,,,,SETH,,"If: to-time: $O(N^{(2-\epsilon)}$ for any $\epsilon > 0$
Then: from-time: $O(2^{(1-\delta/2)N}$ where $N$ is s.t there are $n=\tilde{O}(2^{N/2})$ vertices on each curve",2,"Karl Bringmann, Why walking the dog takes time: Fréchet distance has no strongly subquadratic algorithms unless SETH fails",https://people.mpi-inf.mpg.de/~kbringma/paper/2014FOCS.pdf,2014,,,,
,Orthogonal Vectors,MOV,Longest Common Subsequence,Longest Common Subsequence,5,,,,,,,SETH,,"If: to-time: $O(n^{2-\epsilon})$ for any $\epsilon > 0$
Then: from-time: $O(2^{n-\epsilon})$",,"Abboud, Amir, Arturs Backurs, and Virginia Vassilevska Williams. ""Quadratic-time hardness of LCS and other sequence similarity measures."" arXiv preprint arXiv:1501.07053 (2015).",https://arxiv.org/abs/1501.07053,2015,,,,
,Orthogonal Vectors,UOV,Dynamic Time Warping,Dynamic Time Warping,6,,,,,,,UOVH,,"If: to-time: $O((nm)^{(1-\epsilon)})$, where $|x| = O(nd)$ and $|y| = O(md)$
Then: from-time: $O((nm)^{(1-\epsilon/2)})$",2,,https://arxiv.org/pdf/1502.01063.pdf,2015,,,,
,Orthogonal Vectors,UOV,Longest Common Subsequence,Longest Common Subsequence,7,,,,,,,UOVH,,"If: to-time: $O((nm)^{(1-\epsilon)})$, where $|x| = O(nd)$ and $|y| = O(md)$
Then: from-time: $O((nm)^{(1-\epsilon/2)})$",2,,https://arxiv.org/pdf/1502.01063.pdf,2015,,,,
,Orthogonal Vectors,OV,Partial Match,Partial Match,8,,,,,,,OVH,,"If: to-time: $n^{2-\epsilon}*poly(d)$ for some $\epsilon > 0$
Then: from-time: $n^{2-\epsilon'}*poly(d)$ for some $\epsilon' > 0$",2,6.S078 Lecture 6,https://people.csail.mit.edu/virgi/6.s078/lecture6-post.txt,2020,,,,
,Partial Match,Partial Match,Orthogonal Vectors,OV,9,,,,,,,OVH,,"If: to-time: $n^{2-\epsilon}*poly(d)$ for some $\epsilon > 0$
Then: from-time: $n^{2-\epsilon'}*poly(d)$ for some $\epsilon' > 0$",2,6.S078 Lecture 6,https://people.csail.mit.edu/virgi/6.s078/lecture6-post.txt,2020,,,,
,3SUM,3SUM,3SUM,3SUM',10,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM',3SUM,3SUM,11,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM',Geometric Base,GeomBase,12,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,3SUM,3SUM',13,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM,Geometric Incidence Problems,3 Points on Line,14,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Incidence Problems,3 Points on Line,Geometric Incidence Problems,Point on 3 Lines,15,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Incidence Problems,Point on 3 Lines,Geometric Incidence Problems,3 Points on Line,16,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Separator Problems,Separator1,17,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Separator Problems,Separator2,18,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Covering Problems,Strips Cover Box,19,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Strips Cover Box,Geometric Covering Problems,Triangles Cover Triangle,20,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
